"condition","response_1","response_2","response_3"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","Less than 350"
0.9,"Less than 350","Less than 350","Less than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
0.9,"More than 350","More than 350","More than 350"
