"t_pct","t_num","M","mu","C","pre_vote","post_vote","N","R","B_func"
0.6,459.222698448087,399.683449077773,457.71783727835,458.401037779001,0.402,0.291,1000,3,"lognorm"
0.625,474.400022345752,399.683449077773,457.71783727835,458.401037779001,0.379,0.187,1000,3,"lognorm"
0.65,489.378066358017,399.683449077773,457.71783727835,458.401037779001,0.344,0.143,1000,3,"lognorm"
0.675,508.682812057445,399.683449077773,457.71783727835,458.401037779001,0.306,0.104,1000,3,"lognorm"
0.7,527.033752420504,399.683449077773,457.71783727835,458.401037779001,0.285,0.094,1000,3,"lognorm"
0.725,547.174283002247,399.683449077773,457.71783727835,458.401037779001,0.26,0.076,1000,3,"lognorm"
0.75,569.582401188563,399.683449077773,457.71783727835,458.401037779001,0.24,0.063,1000,3,"lognorm"
0.775,592.184453674335,399.683449077773,457.71783727835,458.401037779001,0.224,0.048,1000,3,"lognorm"
0.8,616.950875801816,399.683449077773,457.71783727835,458.401037779001,0.192,0.037,1000,3,"lognorm"
0.825,645.199565070856,399.683449077773,457.71783727835,458.401037779001,0.172,0.031,1000,3,"lognorm"
0.85,676.356277292071,399.683449077773,457.71783727835,458.401037779001,0.148,0.024,1000,3,"lognorm"
0.875,712.8604119639,399.683449077773,457.71783727835,458.401037779001,0.122,0.02,1000,3,"lognorm"
0.9,755.768920637871,399.683449077773,457.71783727835,458.401037779001,0.104,0.012,1000,3,"lognorm"
0.1,210.793662539322,403.072056295295,461.692429989157,459.321499624503,0.896,0.998,1000,3,"lognorm"
0.125,224.894675583713,403.072056295295,461.692429989157,459.321499624503,0.88,0.993,1000,3,"lognorm"
0.15,237.273158089203,403.072056295295,461.692429989157,459.321499624503,0.855,0.99,1000,3,"lognorm"
0.175,250.195196892611,403.072056295295,461.692429989157,459.321499624503,0.837,0.987,1000,3,"lognorm"
0.2,260.960865335129,403.072056295295,461.692429989157,459.321499624503,0.814,0.984,1000,3,"lognorm"
0.225,272.970919012509,403.072056295295,461.692429989157,459.321499624503,0.795,0.981,1000,3,"lognorm"
0.25,284.542549551196,403.072056295295,461.692429989157,459.321499624503,0.771,0.977,1000,3,"lognorm"
0.275,296.367830845532,403.072056295295,461.692429989157,459.321499624503,0.744,0.974,1000,3,"lognorm"
0.3,307.32723007319,403.072056295295,461.692429989157,459.321499624503,0.718,0.969,1000,3,"lognorm"
0.325,318.407173053239,403.072056295295,461.692429989157,459.321499624503,0.695,0.962,1000,3,"lognorm"
0.35,331.308184932062,403.072056295295,461.692429989157,459.321499624503,0.667,0.956,1000,3,"lognorm"
0.375,343.626754322754,403.072056295295,461.692429989157,459.321499624503,0.633,0.949,1000,3,"lognorm"
0.4,353.775201623635,403.072056295295,461.692429989157,459.321499624503,0.613,0.936,1000,3,"lognorm"
0.425,365.868294719616,403.072056295295,461.692429989157,459.321499624503,0.587,0.917,1000,3,"lognorm"
0.45,376.627347748832,403.072056295295,461.692429989157,459.321499624503,0.566,0.903,1000,3,"lognorm"
0.475,387.81139474412,403.072056295295,461.692429989157,459.321499624503,0.54,0.886,1000,3,"lognorm"
0.5,400.432289933286,403.072056295295,461.692429989157,459.321499624503,0.509,0.872,1000,3,"lognorm"
0.525,413.99790512508,403.072056295295,461.692429989157,459.321499624503,0.481,0.843,1000,3,"lognorm"
0.55,429.018098166205,403.072056295295,461.692429989157,459.321499624503,0.452,0.798,1000,3,"lognorm"
0.575,443.649283468963,403.072056295295,461.692429989157,459.321499624503,0.423,0.722,1000,3,"lognorm"
0.6,459.222698448087,403.072056295295,461.692429989157,459.321499624503,0.401,0.45,1000,3,"lognorm"
0.625,474.400022345752,403.072056295295,461.692429989157,459.321499624503,0.38,0.198,1000,3,"lognorm"
0.65,489.378066358017,403.072056295295,461.692429989157,459.321499624503,0.358,0.153,1000,3,"lognorm"
0.675,508.682812057445,403.072056295295,461.692429989157,459.321499624503,0.333,0.114,1000,3,"lognorm"
0.7,527.033752420504,403.072056295295,461.692429989157,459.321499624503,0.312,0.09,1000,3,"lognorm"
0.725,547.174283002247,403.072056295295,461.692429989157,459.321499624503,0.283,0.07,1000,3,"lognorm"
0.75,569.582401188563,403.072056295295,461.692429989157,459.321499624503,0.255,0.052,1000,3,"lognorm"
0.775,592.184453674335,403.072056295295,461.692429989157,459.321499624503,0.227,0.043,1000,3,"lognorm"
0.8,616.950875801816,403.072056295295,461.692429989157,459.321499624503,0.204,0.035,1000,3,"lognorm"
